date,Humid,temp_max,temp_min,wind,weather
01-01-2012,0,12.8,5,4.7,drizzle
02-01-2012,10.9,10.6,2.8,4.5,rain
03-01-2012,0.8,11.7,7.2,2.3,rain
04-01-2012,20.3,12.2,5.6,4.7,rain
05-01-2012,1.3,8.9,2.8,6.1,rain
06-01-2012,2.5,4.4,2.2,2.2,rain
07-01-2012,0,7.2,2.8,2.3,rain
08-01-2012,0,10,2.8,2,sun
09-01-2012,4.3,9.4,5,3.4,rain
10-01-2012,1,6.1,0.6,3.4,rain
11-01-2012,0,6.1,-1.1,5.1,sun
12-01-2012,0,6.1,-1.7,1.9,sun
13-01-2012,0,5,-2.8,1.3,sun
14-01-2012,4.1,4.4,0.6,5.3,snow
15-01-2012,5.3,1.1,-3.3,3.2,snow
16-01-2012,2.5,1.7,-2.8,5,snow
17-01-2012,8.1,3.3,0,5.6,snow
18-01-2012,19.8,0,-2.8,5,snow
19-01-2012,15.2,-1.1,-2.8,1.6,snow
20-01-2012,13.5,7.2,-1.1,2.3,snow
21-01-2012,3,8.3,3.3,8.2,rain
22-01-2012,6.1,6.7,2.2,4.8,rain
23-01-2012,0,8.3,1.1,3.6,rain
24-01-2012,8.6,10,2.2,5.1,rain
25-01-2012,8.1,8.9,4.4,5.4,rain
26-01-2012,4.8,8.9,1.1,4.8,rain
27-01-2012,0,6.7,-2.2,1.4,drizzle
28-01-2012,0,6.7,0.6,2.2,rain
29-01-2012,27.7,9.4,3.9,4.5,rain
